fetched_at,subscriptions,lifetime_subscriptions,favorited,lifetime_favorited,views,votes_up,votes_down,score
2026-08-04T11:41:16Z,370,395,29,29,1290,20,0,0.5833333134651184
2026-08-05T05:58:38Z,513,558,42,43,1784,25,0,0.6000000238418579
2026-08-05T07:43:59Z,524,569,44,45,1815,26,0,0.60317462682724
2026-08-06T05:11:51Z,662,726,50,52,2334,30,0,0.6153846383094788
2026-08-06T05:12:12Z,662,726,50,52,2334,30,0,0.6153846383094788
2026-08-06T07:43:05Z,670,736,50,52,2367,30,1,0.6106870174407959
2026-08-07T05:48:35Z,766,845,60,62,2812,30,1,0.6106870174407959
2026-08-07T06:10:56Z,768,846,60,62,2815,30,1,0.6106870174407959
2026-08-08T05:36:28Z,889,980,77,79,3359,33,1,0.6194030046463013
2026-08-08T05:45:00Z,889,980,77,79,3361,33,1,0.6194030046463013
2026-08-09T05:49:39Z,990,1095,84,86,3942,35,1,0.625
2026-08-10T06:13:33Z,1029,1143,89,91,4090,35,1,0.625
2026-08-11T05:55:53Z,1045,1163,92,94,4155,36,1,0.6277372241020203
2026-08-12T06:18:21Z,1045,1169,92,94,4208,36,1,0.6277372241020203
2026-08-13T06:20:22Z,1046,1181,92,95,4236,36,1,0.6277372241020203
2026-08-14T06:17:57Z,1060,1203,93,96,4279,36,1,0.6277372241020203
2026-08-15T05:29:13Z,1070,1217,93,96,4317,36,1,0.6277372241020203
2026-08-16T05:32:25Z,1083,1236,96,100,4366,36,1,0.6277372241020203
2026-08-17T05:38:37Z,1101,1258,97,101,4416,37,1,0.6304348111152649
2026-08-18T05:34:11Z,1114,1274,99,103,4460,37,1,0.6304348111152649
2026-08-19T05:34:54Z,1126,1288,98,103,4496,37,1,0.6304348111152649
2026-08-20T05:35:05Z,1138,1304,100,105,4536,37,1,0.6304348111152649
2026-08-21T05:36:39Z,1142,1312,100,105,4561,37,1,0.6304348111152649
2026-08-22T05:31:47Z,1155,1328,100,105,4601,37,1,0.6304348111152649
2026-08-23T05:33:35Z,1163,1342,102,107,4636,38,1,0.633093535900116
2026-08-24T05:41:53Z,1174,1358,101,107,4669,38,1,0.633093535900116
2026-08-25T05:35:31Z,1188,1372,102,108,4699,38,1,0.633093535900116
2026-08-26T05:38:18Z,1201,1384,103,109,4724,38,1,0.633093535900116
2026-08-27T16:18:03Z,1225,1408,103,109,4772,38,1,0.633093535900116
2026-08-28T17:13:35Z,1233,1417,103,111,4807,38,1,0.633093535900116
2026-08-29T11:31:37Z,1240,1427,103,111,4830,38,1,0.633093535900116
2026-08-30T10:24:14Z,1246,1441,103,111,4864,38,1,0.633093535900116
2026-08-31T11:28:54Z,1258,1460,103,111,4909,38,1,0.633093535900116
2026-09-01T09:51:06Z,1266,1470,104,112,4946,38,1,0.633093535900116
2026-09-02T09:22:50Z,1270,1479,104,112,4970,38,1,0.633093535900116
2026-09-03T09:32:37Z,1283,1497,106,114,4999,39,1,0.6357142925262451
2026-09-04T09:24:43Z,1297,1516,106,114,5019,39,1,0.6357142925262451
2026-09-05T08:53:37Z,1295,1519,107,115,5041,40,1,0.6382978558540344
